t,ax,ay,az,gx,gy,gz,mx,my,mz,temp,src
2.34492,-9.10521,3.64251,-0.24557,-79.74850,-32.43236,-27.42206,37.65252,16.68128,11.92513,28.88672,comp
2.36089,-7.50267,5.21087,-3.18502,-99.88913,-8.27611,-27.07489,37.30242,16.70879,10.31869,28.90234,comp
2.38501,-7.59935,5.15377,-0.51510,-95.25241,17.34889,4.87823,37.33611,17.11138,6.68197,28.93945,comp
2.40103,-6.20873,4.78878,0.22269,-86.78366,13.22389,36.65948,39.16912,15.32915,8.30795,28.86914,comp
2.43395,-5.42357,5.00656,-2.77340,-79.48679,54.59889,62.48761,40.63982,16.38189,7.06283,28.83203,comp
2.44153,-4.65599,4.94513,-1.28024,-40.14304,125.47389,92.84698,40.29241,15.35454,5.86849,28.89844,comp
2.46505,-9.19506,9.76544,-3.74508,-12.14304,221.84889,164.97198,39.92229,14.29302,7.10189,28.87891,comp
2.48083,-13.75365,10.07696,0.56351,-53.86179,155.84889,158.33917,40.31634,10.44536,7.56478,28.89062,comp
2.50492,-10.18529,8.40899,-2.37789,-140.61179,57.34889,96.24542,40.35500,6.97271,6.40267,28.89258,comp
2.52909,-1.13842,8.50708,-2.99362,-134.36569,78.14577,110.76886,41.49660,6.31939,2.76791,28.84961,comp
2.54504,-7.67748,10.91137,-2.73190,-102.36569,137.20827,177.20636,40.80618,3.56353,0.80404,28.88281,comp
2.56904,-9.40111,12.04614,-0.05807,-153.86569,84.98952,184.07745,41.96633,-0.24116,-1.97135,28.89258,comp
2.58511,-7.23510,8.90161,2.12162,-205.86569,-18.26048,124.85870,42.00622,-2.29976,-4.36197,28.90820,comp
2.60898,-1.21166,8.70593,1.50346,-261.61569,-75.22923,35.67120,40.21911,-3.62788,-7.95377,28.87500,comp
2.62499,-4.51049,7.69519,-2.84420,-247.31882,-28.82298,27.83136,40.96520,-3.61553,-9.17252,28.87500,comp
2.64904,-5.08031,7.47986,1.22221,-127.69382,-17.86986,13.68292,39.53844,-3.19048,-13.60221,28.87109,comp
2.66507,-3.44359,6.22595,2.66263,-89.50632,-23.67064,22.53448,38.82555,-4.21392,-14.79069,28.90820,comp
2.68899,-3.57360,7.13073,3.26224,-50.66257,-14.70970,36.11261,38.10387,-5.24907,-15.16935,28.84766,comp
2.70493,-3.60915,6.32312,5.29154,-73.38132,-9.08861,39.04229,37.02380,-5.21077,-17.17911,28.86523,comp
2.72913,-5.63063,9.50280,2.36967,-96.69382,-15.95189,51.64386,37.41686,-5.88167,-19.19279,28.87891,comp
2.74517,-5.11745,8.62292,1.15678,-34.56882,-26.05345,37.90167,37.40443,-5.89959,-17.97989,28.89648,comp
2.76899,-4.13796,8.58603,1.40348,13.86868,-22.63548,35.82745,37.06239,-7.97771,-18.75089,28.84375,comp
