t,ax,ay,az,gx,gy,gz,mx,my,mz,temp
3.19344,-0.12786,0.35175,-9.74949,-0.03762,-0.00652,-0.02693,-10.95179,-35.26693,34.59279,28.67773
3.20940,-0.12240,0.32070,-9.77694,-0.03888,0.05324,0.03536,-9.86879,-34.24056,35.37697,28.62305
3.23347,-0.11185,0.36168,-9.79882,0.02643,0.05236,-0.02479,-9.50721,-34.60409,36.18508,28.67969
3.24933,-0.11194,0.33995,-9.76205,-0.03631,0.05236,0.09209,-10.23622,-34.23812,35.38625,28.62695
3.27347,-0.10820,0.33026,-9.80122,-0.03977,-0.06450,0.03459,-10.23618,-34.59246,35.79511,28.66797
3.28968,-0.11644,0.34918,-9.77802,-0.09906,0.05409,-0.02816,-9.85581,-35.28143,34.99580,28.64648
3.31367,-0.11268,0.34869,-9.78409,0.02294,0.05409,0.03630,-10.59165,-34.92645,34.99218,28.65625
3.32947,-0.11961,0.33313,-9.80089,-0.03806,0.16908,-0.02645,-10.95982,-35.27850,35.40453,28.64844
3.35381,-0.10512,0.34905,-9.78986,0.08395,0.00025,-0.02645,-9.86216,-34.93792,35.38773,28.65430
3.36936,-0.10473,0.35440,-9.77659,0.08050,-0.00520,-0.02645,-10.22153,-34.92374,34.59086,28.64062
3.39363,-0.12893,0.35103,-9.78916,-0.09211,0.05059,-0.02997,-9.86411,-35.64689,36.19926,28.72656
3.40941,-0.10406,0.33258,-9.77074,-0.08449,0.05410,0.01993,-10.96274,-34.92960,35.39896,28.66602
3.88153,-0.10573,0.34274,-9.81039,-0.03805,0.05412,-0.08748,-10.58834,-34.92099,34.59434,28.61914
3.89792,-0.11654,0.33666,-9.78783,0.02299,0.05412,0.03453,-10.22896,-34.93517,35.39121,28.63086
3.92150,-0.11654,0.33612,-9.80086,-0.09902,-0.06789,0.03453,-10.95894,-34.92411,35.00108,28.62109
3.93754,-0.12801,0.35814,-9.76894,-0.09902,0.11509,0.03453,-10.23873,-34.24344,35.78916,28.70312
3.96151,-0.09690,0.33723,-9.78436,-0.03801,0.05409,0.03453,-10.23994,-34.59818,36.19785,28.65430
3.97754,-0.11297,0.34563,-9.78907,-0.09902,0.11509,-0.02648,-11.31514,-35.25834,34.20371,28.66406
4.00153,-0.11482,0.34913,-9.76598,-0.03801,0.05409,0.09553,-9.49873,-34.59232,35.38340,28.64258
4.01752,-0.12073,0.35886,-9.80035,-0.03801,0.17610,0.03453,-9.86275,-34.93851,35.39269,28.66211
4.04145,-0.10459,0.34812,-9.80747,-0.03801,0.05409,0.03453,-10.59175,-34.92662,34.99133,28.67578
4.05759,-0.11660,0.36063,-9.79026,-0.03801,-0.00692,0.03453,-10.59053,-34.57188,34.58263,28.68945
4.08156,-0.10464,0.35169,-9.79445,-0.03801,0.05409,-0.02651,-10.96187,-34.57539,34.99523,28.66406
4.09729,-0.12127,0.33074,-9.77234,-0.03801,-0.00692,-0.02651,-10.23287,-34.94136,35.79406,28.68750
4.12139,-0.11721,0.37612,-9.78917,-0.03801,-0.00692,0.03450,-10.58614,-35.62447,35.00256,28.64648
4.13733,-0.09507,0.35050,-9.80510,0.02299,0.05412,-0.02651,-10.60425,-34.94478,36.20666,28.65039
4.16163,-0.11476,0.35213,-9.78377,-0.03801,0.05412,-0.02651,-10.59502,-34.57808,34.99181,28.65039
4.17755,-0.11476,0.35226,-9.80319,-0.03801,0.05412,-0.08751,-10.95806,-34.92329,34.98990,28.70312
4.20139,-0.13686,0.34807,-9.77713,-0.09905,-0.00692,0.03450,-11.68657,-35.61568,35.01409,28.68555
4.21741,-0.11484,0.36354,-9.79672,-0.03805,0.11509,-0.02651,-10.58794,-34.92036,34.58855,28.63281
4.24219,-0.11052,0.35809,-9.78682,-0.09905,-0.00692,0.09550,-10.98149,-33.54536,36.17742,28.67383
4.25743,-0.11551,0.33725,-9.76144,0.02278,0.05400,-0.02651,-10.96617,-34.58052,35.39910,28.65430
4.48148,-0.11702,0.33911,-9.79416,-0.03803,-0.00691,0.03459,-11.70215,-33.87185,34.99797,28.65234
4.50568,-0.09224,0.35388,-9.77438,0.02297,0.05410,-0.02642,-10.21875,-35.27224,34.59075,28.63477
4.52149,-0.11931,0.33742,-9.79097,0.08395,0.05410,-0.08745,-10.59570,-34.57791,34.99212,28.62695
4.54545,-0.12529,0.33587,-9.81416,0.02291,0.05410,-0.02645,-10.58821,-34.56652,34.19133,28.66406
4.56138,-0.10963,0.35702,-9.77391,-0.03806,0.05410,-0.02645,-10.96663,-34.58102,35.39934,28.65820
4.58545,-0.10109,0.35301,-9.78593,-0.03787,0.05400,-0.08727,-10.60042,-34.93820,35.79876,28.65430
4.60130,-0.11468,0.35695,-9.80440,0.02265,0.05400,0.03437,-10.23005,-34.93550,35.39739,28.63086
4.62590,-0.12005,0.36387,-9.79321,-0.03796,0.05420,-0.02636,-11.33064,-34.92714,35.40866,28.62891
4.64148,-0.12321,0.35044,-9.78022,-0.09887,0.11493,0.03456,-11.68831,-34.55775,34.19773,28.67383
4.66568,-0.11571,0.34758,-9.78615,-0.09907,0.05411,-0.02645,-10.96321,-33.87074,34.57126,28.65234
4.68143,-0.10258,0.35989,-9.78009,-0.09738,-0.00693,-0.02476,-10.22737,-34.22572,34.57482,28.65039
4.70557,-0.09637,0.32018,-9.80519,0.02255,-0.00693,0.03435,-10.59944,-34.58363,35.39025,28.66602
4.72952,-0.11741,0.36507,-9.81339,-0.03815,-0.00693,-0.08741,-10.94246,-35.60414,33.80334,28.67578
4.75384,-0.11117,0.34765,-9.79660,0.02316,0.17593,0.03454,-10.59041,-35.27577,35.00353,28.65430
4.76980,-0.10501,0.34090,-9.78869,0.08355,0.05411,0.03454,-10.95393,-35.62147,35.00722,28.66992
4.78565,-0.12129,0.33739,-9.80154,0.02295,-0.00693,-0.02647,-10.23127,-34.93641,35.40883,28.66016
