t_s,u,gyro_dps
0.6020,0.0310,2.00
0.6040,0.0300,1.70
0.6060,0.0300,1.40
0.6080,0.0300,1.30
0.6100,0.0290,1.20
0.6120,0.0290,1.10
0.6140,0.0280,1.30
0.6160,0.0270,1.40
0.6180,0.0270,1.50
0.6200,0.0260,1.60
0.6220,0.0250,1.60
0.6240,0.0250,1.50
0.6260,0.0240,1.40
0.6280,0.0230,1.30
0.6300,0.0220,1.30
0.6320,0.0220,1.30
0.6340,0.0210,1.60
0.6360,0.0200,1.90
0.6380,0.0190,2.20
0.6400,0.0180,2.30
0.6420,0.0170,2.40
0.6440,0.0160,2.10
0.6460,0.0160,1.90
0.6480,0.0150,1.70
0.6500,0.0140,1.60
0.6520,0.0140,1.50
0.6540,0.0130,1.20
0.6560,0.0120,0.80
0.6580,0.0120,0.60
0.6600,0.0110,0.50
0.6620,0.0110,0.40
0.6640,0.0100,0.90
0.6660,0.0090,1.50
0.6680,0.0080,1.90
0.6700,0.0070,2.20
0.6720,0.0070,2.30
0.6740,0.0060,2.40
0.6760,0.0060,2.30
0.6780,0.0050,2.20
0.6800,0.0050,2.20
0.6820,0.0050,2.20
0.6840,0.0040,2.00
0.6860,0.0040,1.80
0.6880,0.0040,1.60
0.6900,0.0040,1.50
0.6920,0.0040,1.40
0.6940,0.0040,1.10
0.6960,0.0040,0.50
0.6980,0.0040,0.10
0.7000,0.0050,-0.10
0.7020,0.0050,-0.30
0.7040,0.0050,-0.40
0.7060,0.0050,0.00
0.7080,0.0050,0.40
0.7100,0.0050,0.60
0.7120,0.0060,0.80
0.7140,0.0060,0.90
0.7160,0.0060,1.10
0.7180,0.0070,1.20
0.7200,0.0070,1.20
0.7220,0.0080,1.30
0.7240,0.0090,1.30
0.7260,0.0090,1.30
0.7280,0.0100,1.20
0.7300,0.0110,1.20
0.7320,0.0110,1.20
0.7340,0.0120,1.20
0.7360,0.0130,0.90
0.7380,0.0140,0.70
0.7400,0.0150,0.50
0.7420,0.0160,0.40
0.7440,0.0170,0.40
0.7460,0.0180,0.20
0.7480,0.0190,0.00
0.7500,0.0200,0.00
0.7520,0.0210,-0.10
0.7540,0.0220,-0.10
0.7560,0.0230,-0.20
0.7580,0.0230,-0.20
0.7600,0.0240,-0.30
0.7620,0.0250,-0.30
0.7640,0.0260,-0.30
0.7660,0.0260,0.20
0.7680,0.0270,0.90
0.7700,0.0280,1.30
0.7720,0.0280,1.50
0.7740,0.0290,1.70
0.7760,0.0300,1.10
0.7780,0.0310,0.40
0.7800,0.0310,0.00
0.7820,0.0320,-0.20
0.7840,0.0330,-0.40
0.7860,0.0330,0.00
0.7880,0.0330,0.20
0.7900,0.0330,0.50
0.7920,0.0330,0.60
0.7940,0.0340,0.70
0.7960,0.0340,0.60
0.7980,0.0340,0.00
0.8000,0.0340,-0.30
0.8020,0.0340,-0.60
0.8040,0.0340,-0.80
0.8060,0.0340,-0.70
0.8080,0.0340,-0.30
0.8100,0.0330,-0.10
0.8120,0.0330,0.00
0.8140,0.0320,0.00
0.8160,0.0320,0.10
0.8180,0.0310,0.10
0.8200,0.0310,0.10
0.8220,0.0300,0.10
0.8240,0.0300,0.10
0.8260,0.0290,0.30
0.8280,0.0280,0.90
0.8300,0.0270,1.30
0.8320,0.0260,1.50
0.8340,0.0250,1.70
0.8360,0.0240,1.50
0.8380,0.0230,0.70
0.8400,0.0230,0.00
0.8420,0.0220,-0.30
0.8440,0.0210,-0.50
0.8460,0.0200,-0.80
0.8480,0.0190,-1.10
0.8500,0.0180,-1.30
0.8520,0.0170,-1.50
0.8540,0.0160,-1.60
0.8560,0.0160,-1.60
0.8580,0.0140,-1.40
0.8600,0.0130,-1.20
0.8620,0.0120,-1.10
0.8640,0.0110,-1.00
0.8660,0.0110,-1.00
0.8680,0.0090,0.00
0.8700,0.0080,0.70
0.8720,0.0070,1.20
0.8740,0.0060,1.60
0.8760,0.0060,1.80
0.8780,0.0050,1.00
0.8800,0.0050,0.30
0.8820,0.0050,0.00
0.8840,0.0050,-0.30
0.8860,0.0050,-0.50
0.8880,0.0040,-0.20
0.8900,0.0040,0.20
0.8920,0.0040,0.50
0.8940,0.0040,0.70
0.8960,0.0040,0.80
0.8980,0.0040,-0.10
0.9000,0.0050,-1.10
0.9020,0.0060,-1.80
0.9040,0.0060,-2.20
0.9060,0.0070,-2.50
0.9080,0.0070,-1.80
0.9100,0.0070,-1.00
0.9120,0.0080,-0.40
0.9140,0.0080,0.00
0.9160,0.0090,0.10
0.9180,0.0100,0.00
0.9200,0.0110,-0.20
0.9220,0.0120,-0.50
0.9240,0.0130,-0.60
0.9260,0.0140,-0.70
0.9280,0.0150,-0.50
0.9300,0.0160,-0.10
0.9320,0.0170,0.20
0.9340,0.0180,0.40
0.9360,0.0190,0.50
0.9380,0.0200,0.60
0.9400,0.0210,0.80
0.9420,0.0220,0.90
0.9440,0.0230,0.90
0.9460,0.0240,1.00
0.9480,0.0250,0.70
0.9500,0.0270,-0.20
0.9520,0.0280,-0.90
0.9540,0.0290,-1.40
0.9560,0.0300,-1.70
0.9580,0.0310,-1.90
0.9600,0.0320,-2.40
0.9620,0.0330,-2.70
0.9640,0.0330,-2.90
0.9660,0.0340,-3.10
0.9680,0.0340,-2.50
0.9700,0.0340,-0.50
0.9720,0.0330,0.90
0.9740,0.0330,1.80
0.9760,0.0330,2.40
0.9780,0.0330,2.50
0.9800,0.0330,2.00
0.9820,0.0330,1.50
0.9840,0.0330,1.20
0.9860,0.0320,1.00
0.9880,0.0320,0.90
0.9900,0.0320,0.70
0.9920,0.0310,0.60
0.9940,0.0310,0.50
0.9960,0.0300,0.40
0.9980,0.0290,0.40
1.0000,0.0290,-0.30
1.0020,0.0280,-0.90
1.0040,0.0270,-1.30
1.0060,0.0260,-1.50
1.0080,0.0250,-1.70
1.0100,0.0240,-1.10
1.0120,0.0220,-0.70
1.0140,0.0210,-0.40
1.0160,0.0200,-0.20
1.0180,0.0180,0.00
1.0200,0.0170,0.00
1.0220,0.0160,0.10
1.0240,0.0150,0.10
1.0260,0.0140,0.20
1.0280,0.0120,0.20
1.0300,0.0110,0.60
1.0320,0.0100,1.00
1.0340,0.0090,1.30
1.0360,0.0080,1.50
1.0380,0.0070,1.60
1.0400,0.0060,1.10
1.0420,0.0060,0.60
1.0440,0.0050,0.30
1.0460,0.0050,0.00
1.0480,0.0050,0.00
1.0500,0.0040,-0.20
1.0520,0.0040,-0.50
1.0540,0.0040,-0.70
1.0560,0.0040,-0.90
1.0580,0.0040,-0.90
1.0600,0.0040,-0.90
1.0620,0.0050,-0.70
1.0640,0.0050,-0.60
1.0660,0.0050,-0.50
1.0680,0.0060,-0.40
1.0700,0.0060,-0.10
1.0720,0.0070,0.20
1.0740,0.0070,0.60
1.0760,0.0080,0.80
1.0780,0.0090,0.90
1.0800,0.0100,1.00
1.0820,0.0110,0.90
1.0840,0.0120,0.90
1.0860,0.0140,0.90
1.0880,0.0150,0.90
1.0900,0.0160,0.90
1.0920,0.0170,1.00
1.0940,0.0190,1.10
1.0960,0.0200,1.10
1.0980,0.0210,1.20
1.1000,0.0220,1.10
1.1020,0.0240,0.80
1.1040,0.0250,0.60
1.1060,0.0260,0.50
1.1080,0.0270,0.40
1.1100,0.0280,0.30
1.1120,0.0300,-0.30
1.1140,0.0310,-0.90
1.1160,0.0320,-1.20
1.1180,0.0330,-1.50
1.1200,0.0330,-1.60
1.1220,0.0340,-1.30
1.1240,0.0340,-1.00
1.1260,0.0340,-0.80
1.1280,0.0340,-0.70
1.1300,0.0340,-0.60
1.1320,0.0340,0.10
1.1340,0.0330,0.80
1.1360,0.0320,1.20
1.1380,0.0320,1.50
1.1400,0.0310,1.70
1.1420,0.0310,1.70
1.1440,0.0300,1.80
1.1460,0.0290,1.80
1.1480,0.0280,1.80
1.1500,0.0270,1.80
1.1520,0.0260,1.20
1.1540,0.0250,0.70
1.1560,0.0240,0.30
1.1580,0.0230,0.00
1.1600,0.0220,0.00
1.1620,0.0210,-0.30
1.1640,0.0190,-0.50
1.1660,0.0180,-0.60
1.1680,0.0170,-0.70
1.1700,0.0160,-0.80
1.1720,0.0140,-0.80
1.1740,0.0130,-0.80
1.1760,0.0120,-0.80
1.1780,0.0110,-0.80
1.1800,0.0090,-0.80
1.1820,0.0080,-0.80
1.1840,0.0080,-0.80
1.1860,0.0070,-0.90
1.1880,0.0060,-0.90
1.1900,0.0050,-0.90
1.1920,0.0050,-0.60
1.1940,0.0040,-0.10
1.1960,0.0040,0.20
1.1980,0.0040,0.40
1.2000,0.0030,0.60
1.2020,0.0040,0.70
1.2040,0.0040,0.60
1.2060,0.0040,0.60
1.2080,0.0050,0.50
1.2100,0.0060,0.50
1.2120,0.0060,0.20
1.2140,0.0080,-0.60
1.2160,0.0090,-1.30
1.2180,0.0100,-1.70
1.2200,0.0120,-2.00
